LocationID,Borough,Zone,service_zone,latitude,longitude,Lat_Long,latitude_dbl,longitude_dbl
82,Queens,Elmhurst,Boro Zone,40.73949564677802,-73.87711833280919,40.73949564677802 -73.87711833280919,40.73949564677802,-73.87711833280919
83,Queens,Elmhurst/Maspeth,Boro Zone,40.73832381382578,-73.89217338112863,40.73832381382578 -73.89217338112863,40.73832381382578,-73.89217338112863
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,40.52868644656603,-74.18767433468827,40.52868644656603 -74.18767433468827,40.52868644656603,-74.18767433468827
85,Brooklyn,Erasmus,Boro Zone,40.64611634689489,-73.95162318261008,40.64611634689489 -73.95162318261008,40.64611634689489,-73.95162318261008
86,Queens,Far Rockaway,Boro Zone,40.60243279341622,-73.75524369679556,40.60243279341622 -73.75524369679556,40.60243279341622,-73.75524369679556
87,Manhattan,Financial District North,Yellow Zone,40.706808451665665,-74.00749598562426,40.706808451665665 -74.00749598562426,40.706808451665665,-74.00749598562426
88,Manhattan,Financial District South,Yellow Zone,40.703357903235975,-74.01151502922316,40.703357903235975 -74.01151502922316,40.703357903235975,-74.01151502922316
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,40.637900123473564,-73.96096824906373,40.637900123473564 -73.96096824906373,40.637900123473564,-73.96096824906373
90,Manhattan,Flatiron,Yellow Zone,40.74227862901209,-73.99697141558367,40.74227862901209 -73.99697141558367,40.74227862901209,-73.99697141558367
91,Brooklyn,Flatlands,Boro Zone,40.626272763336225,-73.93009701219937,40.626272763336225 -73.93009701219937,40.626272763336225,-73.93009701219937
92,Queens,Flushing,Boro Zone,40.761102189834205,-73.82885869884264,40.761102189834205 -73.82885869884264,40.761102189834205,-73.82885869884264
93,Queens,Flushing Meadows-Corona Park,Boro Zone,40.740675872160516,-73.84086726234158,40.740675872160516 -73.84086726234158,40.740675872160516,-73.84086726234158
94,Bronx,Fordham South,Boro Zone,40.85815519618384,-73.89953593442144,40.85815519618384 -73.89953593442144,40.85815519618384,-73.89953593442144
95,Queens,Forest Hills,Boro Zone,40.721432275021115,-73.84766941187522,40.721432275021115 -73.84766941187522,40.721432275021115,-73.84766941187522
